Fecha;Último;Apertura;Máximo;Mínimo;% var.
01.11.2022;1773,41;1632,62;1786,43;1616,69;8,59%
01.10.2022;1633,12;1661,30;1729,73;1617,21;-1,60%
01.09.2022;1659,67;1711,09;1735,37;1614,35;-3,00%
01.08.2022;1710,96;1765,05;1808,05;1708,66;-3,13%
01.07.2022;1766,22;1807,78;1815,01;1681,25;-2,28%
01.06.2022;1807,48;1836,96;1877,64;1802,09;-1,63%
01.05.2022;1837,37;1895,57;1909,83;1786,88;-3,13%
01.04.2022;1896,83;1937,64;1998,54;1872,25;-2,10%
01.03.2022;1937,51;1908,09;2070,16;1889,72;1,53%
01.02.2022;1908,27;1796,09;1974,33;1788,07;6,19%
01.01.2022;1797,03;1830,44;1854,23;1779,76;-1,74%
01.12.2021;1828,78;1773,54;1830,45;1753,69;3,07%
01.11.2021;1774,35;1783,43;1877,47;1758,20;-0,51%
01.10.2021;1783,39;1757,23;1814,22;1745,42;1,51%
01.09.2021;1756,92;1813,55;1834,06;1720,75;-3,13%
01.08.2021;1813,71;1814,17;1831,79;1684,65;-0,02%
01.07.2021;1814,09;1770,30;1834,16;1765,40;2,49%
01.06.2021;1770,07;1907,52;1916,66;1749,46;-7,16%
01.05.2021;1906,61;1768,14;1912,76;1765,55;7,77%
01.04.2021;1769,19;1708,42;1798,28;1705,33;3,63%
01.03.2021;1707,28;1733,17;1759,81;1676,38;-1,53%
01.02.2021;1733,89;1862,89;1871,89;1717,25;-6,10%
01.01.2021;1846,49;1897,72;1959,41;1810,31;-2,68%
01.12.2020;1897,28;1777,19;1907,25;1775,64;6,75%
01.11.2020;1777,38;1877,71;1965,69;1764,65;-5,41%
01.10.2020;1878,95;1886,50;1933,96;1859,92;-0,36%
01.09.2020;1885,75;1967,54;1992,22;1847,88;-4,28%
01.08.2020;1970,15;1980,27;2072,90;1864,07;-0,29%
01.07.2020;1975,89;1781,81;1981,77;1758,05;10,90%
01.06.2020;1781,66;1737,09;1786,46;1671,14;3,09%
01.05.2020;1728,30;1685,95;1766,55;1670,53;2,57%
01.04.2020;1685,05;1569,95;1751,45;1569,41;7,24%
01.03.2020;1571,31;1590,96;1702,82;1451,24;-0,87%
01.02.2020;1585,12;1589,84;1689,05;1547,29;-0,32%
